r,g,b,label_id
0,0,0,black
7,13,13,black
27,36,49,black
0,85,90,blue
0,95,106,blue
1,18,136,blue
1,84,130,blue
1,103,149,blue
1,115,113,blue
1,115,116,blue
2,3,226,blue
2,6,111,blue
2,27,249,blue
3,7,100,blue
3,57,248,blue
4,3,72,blue
8,120,127,blue
10,67,122,blue
12,6,247,blue
12,23,147,blue
14,135,204,blue
16,122,176,blue
19,187,175,blue
21,46,255,blue
24,5,219,blue
29,93,236,blue
31,59,77,blue
31,99,87,blue
33,56,171,blue
33,71,97,blue
34,66,199,blue
35,196,139,blue
36,122,253,blue
38,83,141,blue
41,70,91,blue
42,254,183,blue
49,102,138,blue
55,120,191,blue
58,24,177,blue
58,46,254,blue
60,115,168,blue
62,130,252,blue
63,130,157,blue
65,253,254,blue
73,132,184,blue
75,87,219,blue
76,144,133,blue
78,81,139,blue
78,84,129,blue
79,115,142,blue
80,123,156,blue
83,60,198,blue
86,132,174,blue
86,252,162,blue
93,33,208,blue
94,155,138,blue
95,158,143,blue
99,247,180,blue
113,159,145,blue
120,209,182,blue
123,242,218,blue
123,253,199,blue
139,136,248,blue
172,194,217,blue
183,255,250,blue
189,246,254,blue
193,198,252,blue
195,251,244,blue
196,255,247,blue
202,255,251,blue
212,255,255,blue
214,255,254,blue
29,2,0,brown
65,2,0,brown
103,58,63,brown
105,96,6,brown
107,66,71,brown
110,16,5,brown
125,113,3,brown
127,104,78,brown
135,95,66,brown
135,110,75,brown
139,49,3,brown
142,118,24,brown
148,119,6,brown
150,78,2,brown
154,98,0,brown
159,131,3,brown
167,94,9,brown
168,143,89,brown
171,126,76,brown
171,144,4,brown
172,79,6,brown
172,116,52,brown
172,126,4,brown
173,144,13,brown
174,139,12,brown
178,113,61,brown
178,151,5,brown
178,153,110,brown
183,82,3,brown
186,158,136,brown
199,172,125,brown
203,165,96,brown
204,173,96,brown
211,182,131,brown
230,242,162,brown
60,65,66,gray
100,125,142,gray
107,124,133,gray
117,141,163,gray
119,161,181,gray
126,160,122,gray
133,163,178,gray
137,160,176,gray
141,132,104,gray
148,126,148,gray
149,163,166,gray
153,117,112,gray
165,163,145,gray
175,168,139,gray
183,201,226,gray
190,174,138,gray
0,147,55,green
0,251,176,green
1,70,0,green
1,180,76,green
1,192,141,green
5,73,7,green
5,255,166,green
8,120,4,green
8,148,4,green
10,95,56,green
10,221,8,green
10,255,2,green
12,181,119,green
12,220,115,green
22,212,63,green
24,209,123,green
27,252,6,green
30,145,103,green
30,248,118,green
31,181,122,green
32,249,134,green
33,195,111,green
37,255,41,green
44,250,31,green
45,254,84,green
47,239,16,green
51,184,100,green
53,83,10,green
53,173,107,green
56,128,4,green
58,229,127,green
62,175,118,green
64,253,20,green
75,97,19,green
77,164,9,green
78,253,84,green
81,183,59,green
83,254,92,green
84,141,68,green
84,172,104,green
86,174,87,green
88,188,8,green
89,133,86,green
92,139,21,green
94,220,31,green
96,102,2,green
97,222,42,green
99,169,80,green
99,179,101,green
101,171,124,green
105,131,57,green
105,157,76,green
105,216,79,green
110,203,60,green
111,108,10,green
111,124,0,green
112,178,63,green
113,170,52,green
114,143,2,green
117,128,0,green
117,184,79,green
118,253,168,green
118,255,123,green
127,143,78,green
134,161,125,green
135,169,34,green
135,253,5,green
136,151,23,green
140,255,158,green
142,229,63,green
143,152,5,green
143,174,34,green
143,182,123,green
144,253,169,green
148,172,2,green
150,180,3,green
154,247,100,green
155,181,60,green
156,187,4,green
156,239,67,green
157,255,0,green
160,191,22,green
160,254,191,green
166,200,117,green
166,251,178,green
167,255,181,green
168,255,4,green
169,190,112,green
173,248,2,green
174,255,110,green
177,210,123,green
177,252,153,green
178,251,165,green
181,195,6,green
181,206,8,green
182,196,6,green
182,255,187,green
183,225,161,green
187,249,15,green
188,236,172,green
188,245,166,green
189,248,163,green
191,254,40,green
194,255,137,green
196,254,130,green
200,253,61,green
200,255,176,green
201,209,121,green
207,253,188,green
193,74,9,orange
196,85,8,orange
202,107,2,orange
203,104,67,orange
207,82,78,orange
239,180,53,orange
240,131,58,orange
240,148,77,orange
242,171,21,orange
252,130,74,orange
253,141,73,orange
253,177,71,orange
253,185,21,orange
254,66,15,orange
254,75,3,orange
255,111,82,orange
255,150,79,orange
255,166,43,orange
157,7,89,pink
194,126,121,pink
196,56,127,pink
199,71,103,pink
199,121,134,pink
200,127,137,pink
209,118,143,pink
215,37,222,pink
215,103,173,pink
217,1,102,pink
217,155,130,pink
218,70,125,pink
221,133,215,pink
223,78,200,pink
231,142,165,pink
243,97,150,pink
245,4,201,pink
246,104,142,pink
251,85,129,pink
251,95,252,pink
252,134,170,pink
253,89,86,pink
253,121,143,pink
254,130,140,pink
254,134,164,pink
255,7,137,pink
255,97,99,pink
255,99,233,pink
255,105,175,pink
255,108,181,pink
255,154,138,pink
255,177,154,pink
255,178,208,pink
255,229,173,pink
255,244,242,pink
67,5,65,purple
78,5,80,purple
93,20,81,purple
95,27,107,purple
98,88,196,purple
104,50,227,purple
114,0,88,purple
115,74,101,purple
117,8,81,purple
117,25,115,purple
126,64,113,purple
135,86,228,purple
137,69,133,purple
141,94,183,purple
149,46,143,purple
150,110,189,purple
152,63,178,purple
153,0,250,purple
164,66,160,purple
164,132,172,purple
165,82,230,purple
168,125,194,purple
172,134,168,purple
173,3,222,purple
196,142,253,purple
201,94,251,purple
202,155,247,purple
217,79,245,purple
239,192,254,purple
254,208,252,purple
75,1,1,red
104,0,24,red
115,0,57,red
133,14,4,red
140,0,52,red
157,2,22,red
165,0,85,red
169,3,8,red
175,47,13,red
185,72,78,red
192,2,47,red
202,1,71,red
213,23,78,red
219,88,86,red
236,45,1,red
254,47,74,red
255,7,58,red
214,255,250,white
254,252,175,white
255,243,154,white
255,249,208,white
255,252,196,white
255,255,182,white
255,255,255,white
191,172,5,yellow
194,183,9,yellow
199,193,12,yellow
208,228,41,yellow
208,254,29,yellow
221,214,24,yellow
241,243,63,yellow
247,213,96,yellow
249,188,8,yellow
250,254,75,yellow
252,225,102,yellow
252,246,121,yellow
252,252,129,yellow
253,185,21,yellow
253,220,92,yellow
253,222,108,yellow
253,238,115,yellow
253,255,99,yellow
254,178,9,yellow
254,223,8,yellow
254,255,127,yellow
255,197,18,yellow
255,218,3,yellow
255,223,34,yellow
255,227,110,yellow
255,249,23,yellow
255,250,134,yellow
255,253,55,yellow
255,253,120,yellow
255,255,129,yellow
